----data/ds_1000_short----
ijson
         20787 function calls (19458 primitive calls) in 0.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 cparser.py:512(_get_type_pointer)
       11    0.000    0.000    0.000    0.000 c_parser.py:163(_add_typedef_name)
        1    0.000    0.000    0.003    0.003 c_parser.py:132(parse)
       13    0.000    0.000    0.000    0.000 c_parser.py:201(_lex_type_lookup_func)
       13    0.000    0.000    0.000    0.000 c_parser.py:347(<listcomp>)
       12    0.000    0.000    0.000    0.000 c_parser.py:1088(p_declarator)
        1    0.000    0.000    0.000    0.000 c_parser.py:1200(p_pointer)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       15    0.000    0.000    0.000    0.000 weakref.py:193(get)
        1    0.000    0.000    0.003    0.003 cparser.py:478(parse_type_and_quals)
        3    0.000    0.000    0.000    0.000 {method 'load_function' of '_cffi_backend.Library' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.newp}
       12    0.000    0.000    0.000    0.000 c_parser.py:1094(p_xxx_declarator_1)
        1    0.000    0.000    0.000    0.000 c_parser.py:1171(p_direct_xxx_declarator_6)
        4    0.000    0.000    0.000    0.000 lex.py:263(begin)
        4    0.000    0.000    0.000    0.000 yajl2_cffi.py:131(map_key)
        1    0.000    0.000    0.000    0.000 yajl2_cffi.py:233(parse)
        1    0.000    0.000    0.004    0.004 api.py:153(_typeof_locked)
        4    0.000    0.000    0.000    0.000 model.py:272(build_backend_type)
        1    0.000    0.000    0.000    0.000 c_parser.py:1277(p_parameter_declaration_2)
        2    0.000    0.000    0.000    0.000 c_lexer.py:247(t_PPHASH)
       11    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1034bf660}
       11    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.004    0.004 api.py:233(new)
        1    0.000    0.000    0.000    0.000 model.py:505(build_backend_type)
       25    0.000    0.000    0.000    0.000 yacc.py:257(lineno)
        2    0.000    0.000    0.000    0.000 c_lexer.py:261(t_ppline_FILENAME)
        2    0.000    0.000    0.000    0.000 c_lexer.py:277(t_ppline_NEWLINE)
       11    0.000    0.000    0.000    0.000 c_ast.py:974(__init__)
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.010    0.010 profile_action.py:76(load_json)
        1    0.000    0.000    0.004    0.004 api.py:171(_typeof)
        1    0.000    0.000    0.000    0.000 cparser.py:90(_preprocess_extern_python)
        3    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_pointer_type}
       10    0.000    0.000    0.000    0.000 c_parser.py:1836(p_empty)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 api.py:204(sizeof)
        1    0.000    0.000    0.000    0.000 api.py:523(new_handle)
        1    0.000    0.000    0.000    0.000 c_parser.py:513(p_translation_unit_or_empty)
        1    0.000    0.000    0.000    0.000 c_parser.py:1236(p_parameter_type_list)
        1    0.000    0.000    0.000    0.000 c_parser.py:1245(p_parameter_list)
        1    0.000    0.000    0.000    0.000 c_parser.py:1375(p_abstract_declarator_1)
        1    0.000    0.000    0.003    0.003 yacc.py:323(parse)
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 profile_action.py:60(get_stdin)
        2    0.000    0.000    0.000    0.000 yajl2_cffi.py:119(string)
        1    0.000    0.000    0.000    0.000 yajl2_cffi.py:239(items)
        3    0.000    0.000    0.001    0.000 api.py:881(__getattr__)
        1    0.000    0.000    0.000    0.000 model.py:12(qualify)
        1    0.000    0.000    0.000    0.000 model.py:264(__init__)
        1    0.000    0.000    0.003    0.003 cparser.py:475(parse_type)
        4    0.000    0.000    0.000    0.000 model.py:393(get_cached_btype)
        3    0.000    0.000    0.000    0.000 model.py:463(check_not_partial)
        2    0.000    0.000    0.000    0.000 cparser.py:500(_extract_quals)
        2    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_primitive_type}
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend.new_enum_type}
        1    0.000    0.000    0.000    0.000 c_parser.py:1564(p_typedef_name)
        1    0.000    0.000    0.000    0.000 c_lexer.py:68(reset_lineno)
        1    0.000    0.000    0.000    0.000 c_lexer.py:73(input)
        2    0.000    0.000    0.000    0.000 c_lexer.py:268(t_ppline_LINE_NUMBER)
        1    0.000    0.000    0.000    0.000 c_ast.py:383(__init__)
        1    0.000    0.000    0.000    0.000 c_ast.py:833(__init__)
        1    0.000    0.000    0.000    0.000 lex.py:251(input)
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 common.py:108(initial_set)
        1    0.000    0.000    0.000    0.000 common.py:107(__init__)
        4    0.000    0.000    0.000    0.000 common.py:118(setter)
